"","column","diff","lwr","upr","p adj","significant","block_a","block_b","clusterlabel_a","clusterlabel_b"
"41","2:Default_Vis-0:Default_Vis",-5.35669317794001e-05,-0.000180255551391555,7.31216878327545e-05,0.999999999993999,FALSE,"Default","Vis","2","0"
"42","2:Default_Vis-1:Default_Vis",0.000217840127228048,9.11515076158934e-05,0.000344528746840202,3.17861847953793e-10,TRUE,"Default","Vis","2","1"
"43","1:DorsAttn_Cont-0:DorsAttn_Cont",-0.00150890091340103,-0.00163558953301318,-0.00138221229378888,0,TRUE,"DorsAttn","Cont","1","0"
"44","2:DorsAttn_Cont-0:DorsAttn_Cont",-0.0011459750942288,-0.00127266371384095,-0.00101928647461665,0,TRUE,"DorsAttn","Cont","2","0"
"45","2:DorsAttn_Cont-1:DorsAttn_Cont",0.000362925819172229,0.000236237199560075,0.000489614438784384,0,TRUE,"DorsAttn","Cont","2","1"
"46","1:DorsAttn_Default-0:DorsAttn_Default",8.71100820858678e-05,-3.95785375262867e-05,0.000213798701698022,0.958343453064965,FALSE,"DorsAttn","Default","1","0"
"47","2:DorsAttn_Default-0:DorsAttn_Default",0.000468144961108314,0.000341456341496159,0.000594833580720468,0,TRUE,"DorsAttn","Default","2","0"
"48","2:DorsAttn_Default-1:DorsAttn_Default",0.000381034879022446,0.000254346259410291,0.0005077234986346,0,TRUE,"DorsAttn","Default","2","1"
"49","1:DorsAttn_DorsAttn-0:DorsAttn_DorsAttn",-0.00414886483180698,-0.00427555345141913,-0.00402217621219482,0,TRUE,"DorsAttn","DorsAttn","1","0"
"50","2:DorsAttn_DorsAttn-0:DorsAttn_DorsAttn",-0.00282936245470321,-0.00295605107431537,-0.00270267383509106,0,TRUE,"DorsAttn","DorsAttn","2","0"
"51","2:DorsAttn_DorsAttn-1:DorsAttn_DorsAttn",0.00131950237710377,0.00119281375749161,0.00144619099671592,0,TRUE,"DorsAttn","DorsAttn","2","1"
"52","1:DorsAttn_Limbic-0:DorsAttn_Limbic",-0.000803397150461813,-0.000930085770073967,-0.000676708530849658,0,TRUE,"DorsAttn","Limbic","1","0"
"53","2:DorsAttn_Limbic-0:DorsAttn_Limbic",6.4302725169537e-05,-6.23858944426176e-05,0.000190991344781691,0.999999367116839,FALSE,"DorsAttn","Limbic","2","0"
"54","2:DorsAttn_Limbic-1:DorsAttn_Limbic",0.00086769987563135,0.000741011256019195,0.000994388495243504,0,TRUE,"DorsAttn","Limbic","2","1"
"55","1:DorsAttn_SalVentAttn-0:DorsAttn_SalVentAttn",-0.000936568537415985,-0.00106325715702814,-0.00080987991780383,0,TRUE,"DorsAttn","SalVentAttn","1","0"
"56","2:DorsAttn_SalVentAttn-0:DorsAttn_SalVentAttn",-0.00036538529455714,-0.000492073914169295,-0.000238696674944986,0,TRUE,"DorsAttn","SalVentAttn","2","0"
"57","2:DorsAttn_SalVentAttn-1:DorsAttn_SalVentAttn",0.000571183242858844,0.00044449462324669,0.000697871862470999,0,TRUE,"DorsAttn","SalVentAttn","2","1"
"58","1:DorsAttn_SomMot-0:DorsAttn_SomMot",-0.000932868666805529,-0.00105955728641768,-0.000806180047193374,0,TRUE,"DorsAttn","SomMot","1","0"
"59","2:DorsAttn_SomMot-0:DorsAttn_SomMot",-0.00130635907039589,-0.00143304769000805,-0.00117967045078374,0,TRUE,"DorsAttn","SomMot","2","0"
"60","2:DorsAttn_SomMot-1:DorsAttn_SomMot",-0.000373490403590363,-0.000500179023202518,-0.000246801783978209,0,TRUE,"DorsAttn","SomMot","2","1"
"61","1:DorsAttn_Vis-0:DorsAttn_Vis",-0.000647908707949325,-0.00077459732756148,-0.000521220088337171,0,TRUE,"DorsAttn","Vis","1","0"
"62","2:DorsAttn_Vis-0:DorsAttn_Vis",-1.36071195090876e-06,-0.000128049331563063,0.000125327907661246,1,FALSE,"DorsAttn","Vis","2","0"
"63","2:DorsAttn_Vis-1:DorsAttn_Vis",0.000646547995998417,0.000519859376386262,0.000773236615610571,0,TRUE,"DorsAttn","Vis","2","1"
"64","1:Limbic_Cont-0:Limbic_Cont",-9.22536937596852e-05,-0.00021894231337184,3.44349258524694e-05,0.880178904364493,FALSE,"Limbic","Cont","1","0"
"65","2:Limbic_Cont-0:Limbic_Cont",-1.38682544466388e-05,-0.000140556874058793,0.000112820365165516,1,FALSE,"Limbic","Cont","2","0"
"66","2:Limbic_Cont-1:Limbic_Cont",7.83854393130464e-05,-4.83031802991082e-05,0.000205074058925201,0.997340553237125,FALSE,"Limbic","Cont","2","1"
"67","1:Limbic_Default-0:Limbic_Default",-0.00113057928903786,-0.00125726790865002,-0.00100389066942571,0,TRUE,"Limbic","Default","1","0"
"68","2:Limbic_Default-0:Limbic_Default",-0.00114896788039252,-0.00127565650000467,-0.00102227926078036,0,TRUE,"Limbic","Default","2","0"
"69","2:Limbic_Default-1:Limbic_Default",-1.83885913546547e-05,-0.000145077210966809,0.0001083000282575,1,FALSE,"Limbic","Default","2","1"
"70","1:Limbic_DorsAttn-0:Limbic_DorsAttn",-0.000803397135724563,-0.000930085755336717,-0.000676708516112408,0,TRUE,"Limbic","DorsAttn","1","0"
"71","2:Limbic_DorsAttn-0:Limbic_DorsAttn",6.43029027395998e-05,-6.23857168725547e-05,0.000190991522351754,0.999999367024045,FALSE,"Limbic","DorsAttn","2","0"
"72","2:Limbic_DorsAttn-1:Limbic_DorsAttn",0.000867700038464162,0.000741011418852008,0.000994388658076317,0,TRUE,"Limbic","DorsAttn","2","1"
"73","1:Limbic_Limbic-0:Limbic_Limbic",3.73545694431002e-05,-8.93340501690543e-05,0.000164043189055255,1,FALSE,"Limbic","Limbic","1","0"
"74","2:Limbic_Limbic-0:Limbic_Limbic",-0.00372162415267234,-0.00384831277228449,-0.00359493553306019,0,TRUE,"Limbic","Limbic","2","0"
"75","2:Limbic_Limbic-1:Limbic_Limbic",-0.00375897872211544,-0.00388566734172759,-0.00363229010250329,0,TRUE,"Limbic","Limbic","2","1"
"76","1:Limbic_SalVentAttn-0:Limbic_SalVentAttn",0.000473023166703199,0.000346334547091044,0.000599711786315353,0,TRUE,"Limbic","SalVentAttn","1","0"
"77","2:Limbic_SalVentAttn-0:Limbic_SalVentAttn",0.000292044230664278,0.000165355611052124,0.000418732850276433,1.31183952589708e-12,TRUE,"Limbic","SalVentAttn","2","0"
"78","2:Limbic_SalVentAttn-1:Limbic_SalVentAttn",-0.000180978936038921,-0.000307667555651075,-5.42903164267661e-05,2.38341399871889e-06,TRUE,"Limbic","SalVentAttn","2","1"
"79","1:Limbic_SomMot-0:Limbic_SomMot",0.00160441221488162,0.00147772359526946,0.00173110083449377,0,TRUE,"Limbic","SomMot","1","0"
"80","2:Limbic_SomMot-0:Limbic_SomMot",0.00244930236673988,0.00232261374712773,0.00257599098635204,0,TRUE,"Limbic","SomMot","2","0"
"81","2:Limbic_SomMot-1:Limbic_SomMot",0.000844890151858266,0.000718201532246112,0.000971578771470421,0,TRUE,"Limbic","SomMot","2","1"
"82","1:Limbic_Vis-0:Limbic_Vis",0.000373768211011247,0.000247079591399092,0.000500456830623401,0,TRUE,"Limbic","Vis","1","0"
"83","2:Limbic_Vis-0:Limbic_Vis",0.00040593686430461,0.000279248244692455,0.000532625483916764,0,TRUE,"Limbic","Vis","2","0"
"84","2:Limbic_Vis-1:Limbic_Vis",3.21686532933625e-05,-9.4519966318792e-05,0.000158857272905517,1,FALSE,"Limbic","Vis","2","1"
"85","1:SalVentAttn_Cont-0:SalVentAttn_Cont",-0.00112461270860455,-0.00125130132821671,-0.0009979240889924,0,TRUE,"SalVentAttn","Cont","1","0"
"86","2:SalVentAttn_Cont-0:SalVentAttn_Cont",-0.000970522410092312,-0.00109721102970447,-0.000843833790480158,0,TRUE,"SalVentAttn","Cont","2","0"
"87","2:SalVentAttn_Cont-1:SalVentAttn_Cont",0.000154090298512242,2.74016789000877e-05,0.000280778918124397,0.000579678188739829,TRUE,"SalVentAttn","Cont","2","1"
"88","1:SalVentAttn_Default-0:SalVentAttn_Default",-0.000426955952941616,-0.00055364457255377,-0.000300267333329461,0,TRUE,"SalVentAttn","Default","1","0"
"89","2:SalVentAttn_Default-0:SalVentAttn_Default",-5.21859088934563e-05,-0.000178874528505611,7.45027107186982e-05,1,FALSE,"SalVentAttn","Default","2","0"
"90","2:SalVentAttn_Default-1:SalVentAttn_Default",0.000374770044048159,0.000248081424436005,0.000501458663660314,0,TRUE,"SalVentAttn","Default","2","1"
"91","1:SalVentAttn_DorsAttn-0:SalVentAttn_DorsAttn",-0.000936568489622362,-0.00106325710923452,-0.000809879870010208,0,TRUE,"SalVentAttn","DorsAttn","1","0"
"92","2:SalVentAttn_DorsAttn-0:SalVentAttn_DorsAttn",-0.000365385288662599,-0.000492073908274753,-0.000238696669050444,0,TRUE,"SalVentAttn","DorsAttn","2","0"
"93","2:SalVentAttn_DorsAttn-1:SalVentAttn_DorsAttn",0.000571183200959763,0.000444494581347609,0.000697871820571918,0,TRUE,"SalVentAttn","DorsAttn","2","1"
"94","1:SalVentAttn_Limbic-0:SalVentAttn_Limbic",0.000473023183414168,0.000346334563802013,0.000599711803026322,0,TRUE,"SalVentAttn","Limbic","1","0"
"95","2:SalVentAttn_Limbic-0:SalVentAttn_Limbic",0.000292044314239077,0.000165355694626923,0.000418732933851232,1.31306077122417e-12,TRUE,"SalVentAttn","Limbic","2","0"
"96","2:SalVentAttn_Limbic-1:SalVentAttn_Limbic",-0.00018097886917509,-0.000307667488787245,-5.42902495629358e-05,2.38344927372403e-06,TRUE,"SalVentAttn","Limbic","2","1"
"97","1:SalVentAttn_SalVentAttn-0:SalVentAttn_SalVentAttn",-0.0060879388032504,-0.00621462742286255,-0.00596125018363824,0,TRUE,"SalVentAttn","SalVentAttn","1","0"
"98","2:SalVentAttn_SalVentAttn-0:SalVentAttn_SalVentAttn",-0.00421983265684806,-0.00434652127646022,-0.00409314403723591,0,TRUE,"SalVentAttn","SalVentAttn","2","0"
