,block,type,cluster_label,fold,pattern_value
48,Vis_Vis,intra,1,0,0.0833555012088713
0,Cont_Cont,intra,2,0,0.0492310184347098
1,Cont_Default,inter,2,0,0.0155084522170919
2,Cont_DorsAttn,inter,2,0,0.0161083240013745
3,Cont_Limbic,inter,2,0,-0.0076580670434478
4,Cont_SalVentAttn,inter,2,0,0.0171302010858552
5,Cont_SomMot,inter,2,0,0.0037127834951034
6,Cont_Vis,inter,2,0,-0.0154993584498262
7,Default_Cont,inter,2,0,0.0155084522221358
8,Default_Default,intra,2,0,0.0401998576021135
9,Default_DorsAttn,inter,2,0,-0.0044640823593806
10,Default_Limbic,inter,2,0,0.0062417470948898
11,Default_SalVentAttn,inter,2,0,0.0028085915515725
12,Default_SomMot,inter,2,0,-0.0010696959920202
13,Default_Vis,inter,2,0,-0.0088446230169106
14,DorsAttn_Cont,inter,2,0,0.0161083229755716
15,DorsAttn_Default,inter,2,0,-0.0044640822176795
16,DorsAttn_DorsAttn,intra,2,0,0.0651989550775561
17,DorsAttn_Limbic,inter,2,0,-0.0193247139680112
18,DorsAttn_SalVentAttn,inter,2,0,0.0197948824239238
19,DorsAttn_SomMot,inter,2,0,0.0297965401738257
20,DorsAttn_Vis,inter,2,0,0.0064540698211495
21,Limbic_Cont,inter,2,0,-0.0076580668816125
22,Limbic_Default,inter,2,0,0.0062417470816376
23,Limbic_DorsAttn,inter,2,0,-0.0193247140128911
24,Limbic_Limbic,intra,2,0,0.0938452141733864
25,Limbic_SalVentAttn,inter,2,0,-0.0137408311775071
26,Limbic_SomMot,inter,2,0,-0.0195285130037176
27,Limbic_Vis,inter,2,0,-0.0051110633568976
28,SalVentAttn_Cont,inter,2,0,0.0171302009629228
29,SalVentAttn_Default,inter,2,0,0.0028085919702954
30,SalVentAttn_DorsAttn,inter,2,0,0.0197948822872666
31,SalVentAttn_Limbic,inter,2,0,-0.0137408311990528
32,SalVentAttn_SalVentAttn,intra,2,0,0.0610366652612181
33,SalVentAttn_SomMot,inter,2,0,0.0316957985566112
34,SalVentAttn_Vis,inter,2,0,-0.0081230362107308
35,SomMot_Cont,inter,2,0,0.0037127825137364
36,SomMot_Default,inter,2,0,-0.0010696960574855
37,SomMot_DorsAttn,inter,2,0,0.0297965393043103
38,SomMot_Limbic,inter,2,0,-0.0195285123735861
39,SomMot_SalVentAttn,inter,2,0,0.0316957981157886
40,SomMot_SomMot,intra,2,0,0.0683450826766409
41,SomMot_Vis,inter,2,0,-0.0002742586616867
42,Vis_Cont,inter,2,0,-0.0154993589173641
43,Vis_Default,inter,2,0,-0.0088446230571898
44,Vis_DorsAttn,inter,2,0,0.0064540697297077
45,Vis_Limbic,inter,2,0,-0.0051110637072474
46,Vis_SalVentAttn,inter,2,0,-0.0081230362420575
47,Vis_SomMot,inter,2,0,-0.000274259360935
48,Vis_Vis,intra,2,0,0.0834374112014761
0,Cont_Cont,intra,0,1,0.0500313192003814
1,Cont_Default,inter,0,1,0.0156317238213119
2,Cont_DorsAttn,inter,0,1,0.016149648925459
3,Cont_Limbic,inter,0,1,-0.0076625556089144
4,Cont_SalVentAttn,inter,0,1,0.0173377005797231
5,Cont_SomMot,inter,0,1,0.0030813233758835
6,Cont_Vis,inter,0,1,-0.0162174233032398
7,Default_Cont,inter,0,1,0.0156317238279954
8,Default_Default,intra,0,1,0.0410443547413398
9,Default_DorsAttn,inter,0,1,-0.0046877123422377
10,Default_Limbic,inter,0,1,0.0064022722005366
11,Default_SalVentAttn,inter,0,1,0.0029985140002108
12,Default_SomMot,inter,0,1,-0.0012849129096041
13,Default_Vis,inter,0,1,-0.0093259467614098
14,DorsAttn_Cont,inter,0,1,0.016149647876649
15,DorsAttn_Default,inter,0,1,-0.0046877121932082
16,DorsAttn_DorsAttn,intra,0,1,0.0659418302239611
17,DorsAttn_Limbic,inter,0,1,-0.0200016426235622
18,DorsAttn_SalVentAttn,inter,0,1,0.0200588224540166
19,DorsAttn_SomMot,inter,0,1,0.0305790960221109
20,DorsAttn_Vis,inter,0,1,0.0065146631044844
21,Limbic_Cont,inter,0,1,-0.0076625554307083
22,Limbic_Default,inter,0,1,0.0064022721941853
23,Limbic_DorsAttn,inter,0,1,-0.0200016426508753
24,Limbic_Limbic,intra,0,1,0.0960166385312681
25,Limbic_SalVentAttn,inter,0,1,-0.0143986636645585
26,Limbic_SomMot,inter,0,1,-0.0209752835761113
27,Limbic_Vis,inter,0,1,-0.0059422309943232
28,SalVentAttn_Cont,inter,0,1,0.0173377004454967
29,SalVentAttn_Default,inter,0,1,0.0029985144234786
