,block,type,cluster_label,fold,pattern_value
10,Default_Limbic,inter,2,0,0.0004052645474996201
11,Default_SalVentAttn,inter,2,0,0.00044466509670986653
12,Default_SomMot,inter,2,0,-0.0002185630372735986
13,Default_Vis,inter,2,0,-0.00025280032249586716
14,DorsAttn_Cont,inter,2,0,0.0016131859279769694
15,DorsAttn_Default,inter,2,0,-1.1797896552928327e-05
16,DorsAttn_DorsAttn,intra,2,0,0.020468321197281158
17,DorsAttn_Limbic,inter,2,0,-0.0007309167648882339
18,DorsAttn_SalVentAttn,inter,2,0,0.0018382665516054803
19,DorsAttn_SomMot,inter,2,0,0.0013915155750043016
20,DorsAttn_Vis,inter,2,0,0.0009510579288892132
21,Limbic_Cont,inter,2,0,-0.00018728001945891414
22,Limbic_Default,inter,2,0,0.00040526460112710893
23,Limbic_DorsAttn,inter,2,0,-0.0007309166755962163
24,Limbic_Limbic,intra,2,0,0.03632733976697471
25,Limbic_SalVentAttn,inter,2,0,-0.0007687455212936078
26,Limbic_SomMot,inter,2,0,-0.0010502467251074167
27,Limbic_Vis,inter,2,0,-0.0005608737368574757
28,SalVentAttn_Cont,inter,2,0,0.0015048603514417848
29,SalVentAttn_Default,inter,2,0,0.00044466511559496184
30,SalVentAttn_DorsAttn,inter,2,0,0.0018382664690700535
31,SalVentAttn_Limbic,inter,2,0,-0.0007687455392743224
32,SalVentAttn_SalVentAttn,intra,2,0,0.024402257172073116
33,SalVentAttn_SomMot,inter,2,0,0.0025184909016358467
34,SalVentAttn_Vis,inter,2,0,-0.00048200931426743135
35,SomMot_Cont,inter,2,0,6.169322115759212e-05
36,SomMot_Default,inter,2,0,-0.00021856300301972993
37,SomMot_DorsAttn,inter,2,0,0.0013915154907412257
38,SomMot_Limbic,inter,2,0,-0.001050246655202998
39,SomMot_SalVentAttn,inter,2,0,0.0025184907961518263
40,SomMot_SomMot,intra,2,0,0.01816895455441465
41,SomMot_Vis,inter,2,0,0.0003454857447379661
42,Vis_Cont,inter,2,0,-0.0010156042883967165
43,Vis_Default,inter,2,0,-0.00025280029508748886
44,Vis_DorsAttn,inter,2,0,0.0009510579690451346
45,Vis_Limbic,inter,2,0,-0.0005608737726874987
46,Vis_SalVentAttn,inter,2,0,-0.00048200931799322186
47,Vis_SomMot,inter,2,0,0.0003454856954758258
48,Vis_Vis,intra,2,0,0.02145894006233885
0,Cont_Cont,intra,0,1,0.022738821187846918
1,Cont_Default,inter,0,1,0.00169204750159487
2,Cont_DorsAttn,inter,0,1,0.002736500769428634
3,Cont_Limbic,inter,0,1,-0.00016970874569230448
4,Cont_SalVentAttn,inter,0,1,0.0024515678346666223
5,Cont_SomMot,inter,0,1,0.00044497215620129004
6,Cont_Vis,inter,0,1,-0.0013915004270956912
7,Default_Cont,inter,0,1,0.0016920475395846963
8,Default_Default,intra,0,1,0.016373078484612197
