,node_a,node_b,pattern_value,cluster_label,fold
22,Limbic,Default,0.00040526460112710893,2,0
23,Limbic,DorsAttn,-0.0007309166755962163,2,0
24,Limbic,Limbic,0.03632733976697471,2,0
25,Limbic,SalVentAttn,-0.0007687455212936078,2,0
26,Limbic,SomMot,-0.0010502467251074167,2,0
27,Limbic,Vis,-0.0005608737368574757,2,0
28,SalVentAttn,Cont,0.0015048603514417848,2,0
29,SalVentAttn,Default,0.00044466511559496184,2,0
30,SalVentAttn,DorsAttn,0.0018382664690700535,2,0
31,SalVentAttn,Limbic,-0.0007687455392743224,2,0
32,SalVentAttn,SalVentAttn,0.024402257172073116,2,0
33,SalVentAttn,SomMot,0.0025184909016358467,2,0
34,SalVentAttn,Vis,-0.00048200931426743135,2,0
35,SomMot,Cont,6.169322115759212e-05,2,0
36,SomMot,Default,-0.00021856300301972993,2,0
37,SomMot,DorsAttn,0.0013915154907412257,2,0
38,SomMot,Limbic,-0.001050246655202998,2,0
39,SomMot,SalVentAttn,0.0025184907961518263,2,0
40,SomMot,SomMot,0.01816895455441465,2,0
41,SomMot,Vis,0.0003454857447379661,2,0
42,Vis,Cont,-0.0010156042883967165,2,0
43,Vis,Default,-0.00025280029508748886,2,0
44,Vis,DorsAttn,0.0009510579690451346,2,0
45,Vis,Limbic,-0.0005608737726874987,2,0
46,Vis,SalVentAttn,-0.00048200931799322186,2,0
47,Vis,SomMot,0.0003454856954758258,2,0
48,Vis,Vis,0.02145894006233885,2,0
0,Cont,Cont,0.022738821187846918,0,1
1,Cont,Default,0.00169204750159487,0,1
2,Cont,DorsAttn,0.002736500769428634,0,1
3,Cont,Limbic,-0.00016970874569230448,0,1
4,Cont,SalVentAttn,0.0024515678346666223,0,1
5,Cont,SomMot,0.00044497215620129004,0,1
6,Cont,Vis,-0.0013915004270956912,0,1
7,Default,Cont,0.0016920475395846963,0,1
8,Default,Default,0.016373078484612197,0,1
9,Default,DorsAttn,-0.00048363523498317127,0,1
10,Default,Limbic,0.0015445656700141912,0,1
11,Default,SalVentAttn,0.0005066324664171138,0,1
12,Default,SomMot,-0.00016265124829479657,0,1
13,Default,Vis,-0.00019921741607252863,0,1
14,DorsAttn,Cont,0.002736500616858087,0,1
15,DorsAttn,Default,-0.0004836352510474584,0,1
16,DorsAttn,DorsAttn,0.02322976897730247,0,1
17,DorsAttn,Limbic,-0.0007909333999082493,0,1
18,DorsAttn,SalVentAttn,0.0021819199231342323,0,1
19,DorsAttn,SomMot,0.0026744405314737393,0,1
20,DorsAttn,Vis,0.0009419869553196324,0,1
21,Limbic,Cont,-0.00016970862049632928,0,1
22,Limbic,Default,0.0015445657280744808,0,1
23,Limbic,DorsAttn,-0.0007909334883207111,0,1
24,Limbic,Limbic,0.03999481089362743,0,1
25,Limbic,SalVentAttn,-0.0010453862469898393,0,1
26,Limbic,SomMot,-0.003518607521880874,0,1
27,Limbic,Vis,-0.0009621332353272304,0,1
28,SalVentAttn,Cont,0.002451567866679996,0,1
29,SalVentAttn,Default,0.0005066325252811293,0,1
30,SalVentAttn,DorsAttn,0.002181919834166255,0,1
31,SalVentAttn,Limbic,-0.001045386348798357,0,1
32,SalVentAttn,SalVentAttn,0.02848196014651835,0,1
33,SalVentAttn,SomMot,0.004629997490240741,0,1
34,SalVentAttn,Vis,-0.0006598694705067377,0,1
35,SomMot,Cont,0.00044497209678100164,0,1
36,SomMot,Default,-0.0001626512685624335,0,1
37,SomMot,DorsAttn,0.002674440462696836,0,1
38,SomMot,Limbic,-0.0035186073054269346,0,1
39,SomMot,SalVentAttn,0.004629997430891693,0,1
40,SomMot,SomMot,0.02584807971676466,0,1
41,SomMot,Vis,0.000878028026129658,0,1
42,Vis,Cont,-0.0013915005236037042,0,1
43,Vis,Default,-0.00019921738647236026,0,1
44,Vis,DorsAttn,0.0009419869027200623,0,1
45,Vis,Limbic,-0.0009621333288847463,0,1
46,Vis,SalVentAttn,-0.0006598694369265974,0,1
47,Vis,SomMot,0.0008780279313232147,0,1
48,Vis,Vis,0.026874521797145473,0,1
0,Cont,Cont,0.01940484206196052,1,1
1,Cont,Default,0.0008451037629019254,1,1
